{'ip': '220.248.6.230', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '223.167.193.25', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.187.85', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.118.244', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.73.75', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.18.49', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.223.59', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '223.166.249.234', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '58.247.244.235', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.194.235', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.139.66', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.103.50', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.99.190', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.140.108', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.70.186', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.60.196', 'other': 'NOERROR', 'type': '4'}
{'ip': '58.246.61.254', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.134.196', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.188.110', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.85.186', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.210.196', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.246.59.140', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.148.254', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.140.210', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.150.90', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.169.174', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.91.178', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.67.50', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.65.131', 'other': 'NOERROR', 'type': '4'}
{'ip': '58.247.118.234', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.247.97.38', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.227.131', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.103.142', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.9.6', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '58.246.3.218', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.79.217', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '112.65.15.156', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.52.138', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '112.65.148.39', 'other': 'NXDOMAIN', 'type': '2'}
{'ip': '112.65.235.5', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '112.65.213.134', 'other': 'NOERROR', 'type': '4'}
{'ip': '112.65.169.238', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.12.5', 'other': 'NOERROR', 'type': '3'}
{'ip': '112.64.49.145', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.186.6', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.148.126', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.142.188', 'other': 'NOERROR', 'type': '1'}
{'ip': '112.64.238.121', 'other': 'REFUSED', 'type': '4'}
{'ip': '112.64.66.184', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.114.251', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.29.183', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.91.121', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.219.89', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '112.65.114.3', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.88.243', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '112.64.53.134', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.53.160', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.91.11', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.158.54', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.112.27', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.155.118', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.158.118', 'other': 'REFUSED', 'type': '4'}
{'ip': '112.65.124.221', 'other': 'REFUSED', 'type': '3'}
{'ip': '112.64.96.186', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.66.125', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.46.22', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '112.64.139.166', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.158.70', 'other': 'REFUSED', 'type': '4'}
{'ip': '112.64.163.131', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.141.222', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.131.98', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.210.9', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.53.163', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.13.44', 'other': 'NXDOMAIN', 'type': '3'}
