{'ip': '220.249.115.222', 'other': 'REFUSED', 'type': '4'}
{'ip': '223.166.129.5', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.68.247', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.208.164', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.72.218', 'other': 'NOERROR', 'type': '1'}
{'ip': '58.246.4.70', 'other': 'NOERROR', 'type': '3'}
{'ip': '58.247.211.102', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.155.217', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.170.92', 'other': 'NXDOMAIN', 'type': '2'}
{'ip': '58.246.122.138', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.130.69', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.182.186', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.86.66', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.145.9', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '58.246.103.73', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.24.226', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.227.193', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.244.250', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.9.174', 'other': 'NXDOMAIN', 'type': '2'}
{'ip': '58.247.70.139', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '58.247.247.89', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.67.18', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.246.214.229', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.33.246', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.129.66', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.188.166', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.180.236', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.71.172', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.153.63', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.153.104', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.93.20', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.73.4', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.41.223', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '112.65.241.83', 'other': 'NOERROR', 'type': '4'}
{'ip': '112.65.227.196', 'other': 'REFUSED', 'type': '4'}
{'ip': '112.64.158.109', 'other': 'REFUSED', 'type': '4'}
{'ip': '112.65.7.95', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.71.135', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.170.162', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.170.246', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.65.19', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.143.105', 'other': 'REFUSED', 'type': '4'}
{'ip': '112.64.74.238', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.163.146', 'other': 'NXDOMAIN', 'type': '2'}
{'ip': '112.65.4.192', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.7.222', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '112.65.29.130', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '112.65.131.126', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.28.203', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.147.2', 'other': 'REFUSED', 'type': '4'}
{'ip': '112.65.16.34', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.158.112', 'other': 'REFUSED', 'type': '4'}
{'ip': '112.64.158.96', 'other': 'REFUSED', 'type': '4'}
{'ip': '112.64.88.44', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.65.198', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.210.16', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.50.159', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.158.81', 'other': 'REFUSED', 'type': '4'}
{'ip': '112.64.67.67', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.41.160', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.41.167', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.45.37', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '112.64.12.5', 'other': 'NOERROR', 'type': '3'}
{'ip': '112.64.144.230', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.185.134', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.67.55', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.126.90', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.7.31', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '112.64.69.17', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '112.64.172.134', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.92.80', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.94.180', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.30.181', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.174.158', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.71.85', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.143.78', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.69.237', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.140.179', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.28.184', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.173.218', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '210.13.100.237', 'other': 'NXDOMAIN', 'type': '3'}
