{'ip': '1.202.104.118', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.35.50', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.149.67', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.51.226', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.200.61', 'other': 'NOERROR', 'type': '1'}
{'ip': '1.202.144.167', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '1.202.101.110', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.145.162', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.38.15', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.50.82', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.55.1', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.25.143', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.53.203', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.105.162', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.181.148', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.100.64', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.82.139', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.45.165', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.102.8', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.5.77', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.150.60', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.20.216', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.172.68', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.45.52', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.63.52', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.252.33', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.151.184', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.56.113', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.137.188', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '1.202.76.78', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.79.148', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.25.255', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.54.131', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.98.7', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.99.205', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.52.255', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.126.29', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.213.245', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.172.195', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.29.150', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.98.169', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.41.170', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.39.67', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.130.196', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.135.10', 'other': 'NOERROR', 'type': '4'}
{'ip': '1.202.40.120', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.50.29', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.114.235', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.29.78', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.71.101', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.249.137', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.78.78', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.58.93', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.212.105', 'other': 'NOERROR', 'type': '4'}
{'ip': '1.202.10.101', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.242.115', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.203.15.237', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.65.171', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.181.152', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.203.11.24', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.232.60', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.92.34', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.47.248', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.12.207', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.33.235', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.109.91', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.76.24', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.181.167', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.203.66.46', 'other': 'REFUSED', 'type': '3'}
{'ip': '1.202.242.247', 'other': 'NXDOMAIN', 'type': '2'}
{'ip': '1.202.38.76', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.144.94', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.114.237', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.181.146', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.254.18', 'other': 'NXDOMAIN', 'type': '4'}
{'ip': '1.202.30.185', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.58.253', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.52.88', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.162.149', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.18.44', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.4.21', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.55.238', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.249.19', 'other': 'REFUSED', 'type': '3'}
{'ip': '1.203.171.131', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.249.222', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.165.172', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.254.229', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.55.25', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.51.22', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.72.144', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.108.145', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.70.10', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.126.6', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.121.113', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.55.100', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.227.131', 'other': 'NXDOMAIN', 'type': '2'}
{'ip': '1.203.51.191', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.123.183', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.81.247', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.76.109', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.122.186', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.169.4', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.203.70.154', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.12.63', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.27.170', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.72.111', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.76.82', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.29.78', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.42.71', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.119.40', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.74.161', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.253.154', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.10.55', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.59.32', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.65.35', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.91.62', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '1.203.240.75', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.101.153', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.114.49', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.77.187', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.163.15', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.173.43', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.58.5', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.24.131', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.13.91', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.49.228', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.246.157', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.53.183', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.83.109', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.51.216', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.23.48', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.236.129', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.181.149', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.82.175', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.92.245', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.53.93', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.46.113', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '1.202.115.183', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.71.91', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.49.77', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.158.60', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.42.38', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.127.15', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.20.59', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.153.215', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.5.116', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.71.117', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.109.252', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.4.196', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.144.2', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.248.34', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.67.246', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.2.177', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.154.227', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.5.114', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.90.194', 'other': 'NOERROR', 'type': '4'}
{'ip': '1.202.222.194', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.248.161', 'other': 'NXDOMAIN', 'type': '2'}
{'ip': '1.202.187.242', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '1.202.126.147', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.63.126', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.119.155', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.82.115', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.124.142', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.20.215', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.3.17', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.0.145', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.66.28', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.78.63', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.78.34', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.24.156', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.9.68', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.34.144', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.41.39', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.67.67', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.15.48', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.6.119', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.236.136', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '1.202.115.217', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.2.163', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.86.161', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.252.58', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.113.2', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.64.203', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.116.61', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.181.144', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.247.108', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '1.203.160.4', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.68.113', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.199.18', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.41.244', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.245.146', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.179.201', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.58.55', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.0.41', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.59.85', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.82.106', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.1.239', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.86.132', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.19.149', 'other': 'REFUSED', 'type': '3'}
{'ip': '1.202.115.228', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.47.91', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.110.90', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.127.31', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.37.124', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.251.131', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.27.52', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.0.111', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.55.35', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.41.233', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.75.246', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.65.1', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.46.165', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.145.22', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.73.31', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.105.102', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.79.158', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.126.12', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.85.67', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.58.163', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.7.157', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.73.41', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.123.28', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.56.164', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.114.29', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.92.3', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.79.229', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '1.202.53.146', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.1.91', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.124.48', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.57.54', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.69.96', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.92.244', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '1.202.40.156', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.0.93', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.65.94', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.104.117', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.252.104', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.55.231', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.56.41', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.57.151', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.150.115', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.203.159.6', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.181.173', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.78.75', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.25.50', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.77.21', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.50.115', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.110.88', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.124.183', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.34.184', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.27.129', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.99.65', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.16.62', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.20.70', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.121.160', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.101.142', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.147.144', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.50.235', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.181.145', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.46.140', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.178.146', 'other': 'NOERROR', 'type': '4'}
{'ip': '1.202.88.30', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.169.3', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.7.235', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.251.106', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.97.190', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.246.112', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.232.101', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.32.177', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.181.138', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.223.194', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.53.101', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.38.194', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.156.243', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.156.110', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.124.135', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.39.152', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.223.193', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.246.162', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.245.149', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.8.98', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '1.202.126.122', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.77.128', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.158.110', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.46.207', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.38.126', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.6.148', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.49.120', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.181.161', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.232.61', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.17.235', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.181.201', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.58.161', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.246.164', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.40.7', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.35.63', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.8.227', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.172.141', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.23.200', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.74.79', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.134.227', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.51.134', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.15.86', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.68.125', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.71.92', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.108.180', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.33.106', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.113.120', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.22.91', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.42.32', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.226.5', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.181.190', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.202.49.164', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.72.246', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.24.61', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.118.95', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.127.221', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.119.200', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.32.183', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.87.230', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.178.40', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.144.246', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.84.125', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.140.164', 'other': 'REFUSED', 'type': '4'}
{'ip': '1.203.149.236', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.182.49', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.245.98', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.40.58', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.58.10', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.124.251', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '1.202.125.118', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.202.42.114', 'other': 'NOERROR', 'type': '3'}
{'ip': '1.203.13.34', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.203.16.149', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '1.202.251.74', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '1.203.166.11', 'other': 'NXDOMAIN', 'type': '3'}
