{'ip': '220.250.12.117', 'other': 'NOERROR', 'type': '2'}
{'ip': '58.246.246.214', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.205.110', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.225.186', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.45.90', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.246.180.118', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.43.254', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.247.64.250', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.246.179.46', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.99.133', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.246.166.162', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.142.90', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.182.174', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.85.122', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.210.136', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.123.206', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.102.159', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.114.82', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.147.2', 'other': 'REFUSED', 'type': '4'}
{'ip': '112.64.89.165', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.91.166', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.238.121', 'other': 'REFUSED', 'type': '4'}
{'ip': '112.65.142.188', 'other': 'NOERROR', 'type': '1'}
{'ip': '112.64.30.175', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.40.144', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.163.131', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.49.223', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.210.16', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.244.89', 'other': 'NOERROR', 'type': '4'}
{'ip': '112.65.213.83', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '112.64.71.147', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.171.118', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.71.106', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '112.64.94.180', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.92.204', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.54.15', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.241.83', 'other': 'NOERROR', 'type': '4'}
{'ip': '112.65.46.59', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.144.54', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '112.64.27.38', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '112.65.18.17', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.115.176', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.228.228', 'other': 'REFUSED', 'type': '4'}
{'ip': '210.13.100.230', 'other': 'REFUSED', 'type': '4'}
{'ip': '210.13.80.211', 'other': 'NOERROR', 'type': '3'}
{'ip': '210.13.100.226', 'other': 'REFUSED', 'type': '4'}
{'ip': '210.13.79.68', 'other': 'REFUSED', 'type': '4'}
{'ip': '210.13.108.45', 'other': 'NXDOMAIN', 'type': '1'}
